id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob,texto_traducido
0,0,0.0,11.32," Hello, this is Kim Won-seob of the Bangsujo and Dango TV.","[50364, 2425, 11, 341, 307, 5652, 14710, 12, 405, 996, 295, 264, 11538, 82, 4579, 78, 293, 413, 17150, 3558, 13, 50930]",0.0,-0.7790981194911859,1.4646464646464648,0.0023951372131705,"Hola, soy Kim Won-seob de la Bangsujo y Dango TV."
1,0,11.32,15.96," Everyone, the plus two system is quite difficult and tricky.","[50930, 5198, 11, 264, 1804, 732, 1185, 307, 1596, 2252, 293, 12414, 13, 51162]",0.0,-0.7790981194911859,1.4646464646464648,0.0023951372131705,"Todos, el sistema plus dos es bastante difícil y complicado."
2,0,15.96,19.68," Despite having given lessons on how to play various ways,","[51162, 11334, 1419, 2212, 8820, 322, 577, 281, 862, 3683, 2098, 11, 51348]",0.0,-0.7790981194911859,1.4646464646464648,0.0023951372131705,"A pesar de haber dado lecciones sobre cómo jugar de varias maneras,"
3,0,19.68,22.24, there are many stories that it is quite difficult.,"[51348, 456, 366, 867, 3676, 300, 309, 307, 1596, 2252, 13, 51476]",0.0,-0.7790981194911859,1.4646464646464648,0.0023951372131705,hay muchas historias que dicen que es bastante difícil.
4,0,22.24,27.08," So today, I brought another way that can be easily approached.","[51476, 407, 965, 11, 286, 3038, 1071, 636, 300, 393, 312, 3612, 17247, 13, 51718]",0.0,-0.7790981194911859,1.4646464646464648,0.0023951372131705,"Por lo tanto, hoy traí otra forma que se puede abordar fácilmente."
5,2708,27.08,31.48, It is a method that can be played if you have only one cue.,"[50364, 467, 307, 257, 3170, 300, 393, 312, 3737, 498, 291, 362, 787, 472, 22656, 13, 50584]",0.0,-0.687894953121929,1.6990881458966565,0.0330499932169914,Es un método que se puede jugar si solo tienes una punta.
6,2708,31.48,34.44, Let's go to the first place with me.,"[50584, 961, 311, 352, 281, 264, 700, 1081, 365, 385, 13, 50732]",0.0,-0.687894953121929,1.6990881458966565,0.0330499932169914,Vamos al primer lugar conmigo.
7,2708,34.44,37.16, The first order that modern people want is Yangji-dae-sam.,"[50732, 440, 700, 1668, 300, 4363, 561, 528, 307, 11978, 4013, 12, 2675, 68, 12, 19988, 13, 50868]",0.0,-0.687894953121929,1.6990881458966565,0.0330499932169914,El primer orden que quieren los modernos es Yangji-dae-sam.
8,2708,37.16,38.92," Black hair is also in Dongi-bongam,","[50868, 4076, 2578, 307, 611, 294, 13609, 72, 12, 65, 556, 335, 11, 50956]",0.0,-0.687894953121929,1.6990881458966565,0.0330499932169914,"El pelo negro también está en Dongi-bongam,"
9,2708,38.92,41.4, and it helps a lot in sleeping by releasing the magnetic field.,"[50956, 293, 309, 3665, 257, 688, 294, 8296, 538, 16327, 264, 12688, 2519, 13, 51080]",0.0,-0.687894953121929,1.6990881458966565,0.0330499932169914,y ayuda mucho para dormir liberando el campo magnético.
